MARCA ,TEMPORADA ,PROVEEDOR,CATEGORIA ,INFO GRAL.,CODIGO EAN ,DESCRIPCIÓN ,COLOR/WASH,CANTIDAD,ORIGEN,COSTO ESTIMADO ,PVP SUGERIDO B2C,PVP SUGERIDO B2B,MARGEN B2C,MARGEN B2B,FECHA APROXIMADA DE ARRIBO
Wrangler ,FW26,Jeans Blue ,Vaquero ,,,Greensboro ,Str,184,Chile,$23.24,"469,000  ",,66%,,Enero
Wrangler ,FW26,Jeans Blue ,Vaquero ,,,Greensboro ,Raw,184,Chile,$18.93,"469,000  ",,73%,,Enero
Wrangler ,FW26,Jeans Blue ,Vaquero ,,,Greensboro ,Bkg,184,Chile,$22.31,"469,000  ",,68%,,Enero
Wrangler ,FW26,Jeans Blue ,Vaquero ,,,Larston ,Dsw,184,Chile,$23.04,"459,000  ",,66%,,Enero
Wrangler ,FW26,Jeans Blue ,Vaquero ,,,Larston ,Blw,184,Chile,$22.07,"459,000  ",,67%,,Enero
Wrangler ,FW26,Jeans Blue ,Vaquero ,,,Larston ,Lb,184,Chile,$23.33,"459,000  ",,65%,,Enero
LEE,FW26,Jeans Blue ,Vaquero ,,,Brooklyn Classic Straight ,Mib Blue,130,Chile,$23.30,"459,000  ",,65%,,Enero
LEE,FW26,Jeans Blue ,Vaquero ,,,Brooklyn Classic Straight ,Black,130,Chile,$21.46,"459,000  ",,68%,,Enero
LEE,FW26,Jeans Blue ,Vaquero ,,,Brooklyn Classic Straight ,Light Blue,130,Chile,$21.98,"459,000  ",,67%,,Enero
LEE,FW26,Jeans Blue ,Vaquero ,,,Luke ,Black,130,Chile ,$23.42,"479,000  ",,67%,,Enero
LEE,FW26,Jeans Blue ,Vaquero ,,,Daren Reg Straight ,Blue Wash,130,Chile ,$22.92,"469,000  ",,67%,,Enero
LEE,FW26,Jeans Blue ,Vaquero ,,,Daren Reg Straight ,Stone,130,Chile ,$24.20,"469,000  ",,65%,,Enero
LEE,FW26,Jeans Blue ,Vaquero ,,,Daren Reg Straight ,Black,130,Chile ,$21.52,"469,000  ",,69%,,Enero
LEE,SS26/27,SNOWTEX OUTERWEAR LTD,Vaquero ,Marilyn Monroe Collab,,HIGH RISE JEAN ,Rinse,220,Bangladesh ,$19.08,"449,000  ",,71%,,Julio
LEE,SS26/27,SNOWTEX OUTERWEAR LTD,Vaquero ,Marilyn Monroe Collab,,HIGH RISE JEAN ,Blue Crush,150,Bangladesh ,$23.18,"449,000  ",,65%,,Julio
LEE,SS26/27,SNOWTEX OUTERWEAR LTD,Campera,Marilyn Monroe Collab,,STORM RIDER JACKET,Rinse,48,Bangladesh ,$46.21,"759,000  ",,59%,,Julio
LEE,SS26/27,SNOWTEX OUTERWEAR LTD,Campera,Marilyn Monroe Collab,,STORM RIDER JACKET,Blue Crush,54,Bangladesh ,$47.57,"759,000  ",,57%,,Julio
LEE,SS26/27,RADISSON GARMENTS LIMITED,Camisa,Marilyn Monroe Collab,,BOYFRIEND SHIRT,White Star,100,Bangladesh ,$16.41,"339,000  ",,67%,,Julio
